name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,song_label,PC1,PC2,cluster,cluster_name
Whispers in the Dark,['Colossal Trailer Music'],0.186,0.319,-16.795,0.123,0.622,0.923,0.287,0.0392,114.496,2015,Whispers in the Dark - ['Colossal Trailer Music'],-0.7536345,-0.64922744,6,Ambient / Classical
Ich hab mein Herz verloren,['Die Flippers'],0.588,0.767,-7.791,0.0285,0.247,6.14e-05,0.386,0.918,121.023,1997,Ich hab mein Herz verloren - ['Die Flippers'],0.6448303,0.310337,4,Acoustic Pop
Northern Light,['Cornerstone'],0.573,0.792,-5.822,0.0289999999999999,0.000828,0.369,0.252,0.308,128.111,2016,Northern Light - ['Cornerstone'],0.643897,-0.5377099,1,Energetic Electronic
"A fabol faragott kiralyfi (The Wooden Prince), Op. 13, BB 74: Second Dance: Dance of the Trees","['Béla Bartók', 'Philharmonia Orchestra', 'Neeme Järvi']",0.209,0.327,-15.152,0.0516,0.923,0.84,0.108,0.039,113.347,2013,"A fabol faragott kiralyfi (The Wooden Prince), Op. 13, BB 74: Second Dance: Dance of the Trees - ['Béla Bartók', 'Philharmonia Orchestra', 'Neeme Järvi']",-0.8636924,-0.46723467,6,Ambient / Classical
Othello B,"['Lawrence D. ""Butch"" Morris']",0.296,0.213,-20.102,0.0395,0.7929999999999999,0.853,0.0951,0.0987,117.507,1991,"Othello B - ['Lawrence D. ""Butch"" Morris']",-0.90500754,-0.24262491,6,Ambient / Classical
24 Hours,['Asskickers'],0.472,0.294,-14.056,0.0276,0.44,0.357,0.0697,0.317,134.517,2001,24 Hours - ['Asskickers'],-0.5631186,-0.046545006,6,Ambient / Classical
La bagarre,['Les Vulves Assassines'],0.745,0.4970000000000001,-6.6370000000000005,0.0304,0.046,0.534,0.364,0.148,110.061,2019,La bagarre - ['Les Vulves Assassines'],0.23911165,-0.28628498,5,Dark Electronic Instrumental
Different Wave,['Proper Einstein'],0.601,0.26,-11.473,0.0597,0.816,0.0,0.2189999999999999,0.405,119.69,2020,Different Wave - ['Proper Einstein'],-0.27570543,0.48371166,0,Calm Acoustic
And the Cradle Will Rock... - 2015 Remaster,['Van Halen'],0.509,0.928,-5.8329999999999975,0.0329,0.1889999999999999,1.41e-06,0.2689999999999999,0.736,107.921,2015,And the Cradle Will Rock... - 2015 Remaster - ['Van Halen'],0.78811395,0.017476492,2,Dance Pop
"The Well-Tempered Clavier, Book 1: Fugue No. 19 in A Major, BWV 864","['Johann Sebastian Bach', 'Kimiko Ishizaka']",0.445,0.286,-21.048,0.0416,0.992,0.877,0.134,0.963,135.765,2015,"The Well-Tempered Clavier, Book 1: Fugue No. 19 in A Major, BWV 864 - ['Johann Sebastian Bach', 'Kimiko Ishizaka']",-0.45089316,0.25141817,6,Ambient / Classical
"Russian Easter Overture, Op. 36","['Nikolai Rimsky-Korsakov', 'Yuri Termirkanov']",0.15,0.0683,-20.821,0.0419,0.914,0.7609999999999999,0.115,0.0374,79.408,1993,"Russian Easter Overture, Op. 36 - ['Nikolai Rimsky-Korsakov', 'Yuri Termirkanov']",-0.9626861,-0.17976579,6,Ambient / Classical
Defected Ibiza 2017 Mix 3 - Continuous Mix,['Simon Dunmore'],0.8009999999999999,0.736,-10.049,0.0497,0.00252,0.3779999999999999,0.0877,0.347,123.949,2017,Defected Ibiza 2017 Mix 3 - Continuous Mix - ['Simon Dunmore'],0.52993906,-0.061068323,2,Dance Pop
"Esquisses, Op. 63: No. 38. Les Bons Souhaits","['Charles-Valentin Alkan', 'Laurent Martin']",0.369,0.0162,-34.713,0.0568,0.993,0.913,0.0982,0.292,134.02,1992,"Esquisses, Op. 63: No. 38. Les Bons Souhaits - ['Charles-Valentin Alkan', 'Laurent Martin']",-0.882877,0.031770196,6,Ambient / Classical
Caravan,['Bob James Trio'],0.551,0.421,-14.619000000000002,0.0355,0.573,0.857,0.0834,0.4539999999999999,128.996,2004,Caravan - ['Bob James Trio'],-0.476146,-0.06093913,3,Instrumental Energy
Smoke Stack,"['Vijay Iyer', 'Stephan Crump', 'Marcus Gilmore']",0.396,0.496,-11.292,0.0456,0.2689999999999999,0.885,0.111,0.4639999999999999,68.77,2009,"Smoke Stack - ['Vijay Iyer', 'Stephan Crump', 'Marcus Gilmore']",-0.29149908,-0.24901481,5,Dark Electronic Instrumental
Through the Fire,['Deanna Wheeler'],0.5660000000000001,0.7440000000000001,-6.409,0.0291,0.0852,8.68e-05,0.0729,0.78,103.989,2018,Through the Fire - ['Deanna Wheeler'],0.70427334,0.2133232,2,Dance Pop
After the Gold Rush,['Michael Hedges'],0.481,0.0255,-26.975,0.0351,0.903,0.647,0.0921,0.0615,141.974,1984,After the Gold Rush - ['Michael Hedges'],-0.83498913,0.03875362,6,Ambient / Classical
Simple Death (Demo) [Bonus Track],['Chelsea Wolfe'],0.185,0.412,-9.779,0.03,0.1669999999999999,0.7240000000000001,0.109,0.136,92.484,2016,Simple Death (Demo) [Bonus Track] - ['Chelsea Wolfe'],-0.40029114,-0.70303345,5,Dark Electronic Instrumental
Wedding Bell,['Beach House'],0.466,0.495,-8.227,0.0294,0.585,5.97e-06,0.111,0.158,95.639,2008,Wedding Bell - ['Beach House'],-0.2371868,0.008759808,0,Calm Acoustic
Rollin' In My Sweet Baby's Arms,['Buck Owens'],0.583,0.753,-8.517999999999999,0.0368,0.0566,0.00624,0.104,0.89,145.32399999999996,2004,Rollin' In My Sweet Baby's Arms - ['Buck Owens'],0.7440189,0.22541447,2,Dance Pop
Dance With Me,"['Betty Wright', 'Peter Brown']",0.943,0.684,-6.9239999999999995,0.126,0.156,0.00359,0.081,0.846,111.945,2017,"Dance With Me - ['Betty Wright', 'Peter Brown']",0.6731329,0.53067786,2,Dance Pop
Battle In The Sky,['James L. Venable'],0.3379999999999999,0.445,-11.719,0.0397,0.377,0.862,0.1009999999999999,0.14,76.618,2010,Battle In The Sky - ['James L. Venable'],-0.54958725,-0.48769855,6,Ambient / Classical
Carstairs,['Parlor Walls'],0.406,0.435,-15.399,0.215,0.873,0.7440000000000001,0.105,0.0451,99.775,2017,Carstairs - ['Parlor Walls'],-0.69476277,-0.3004185,6,Ambient / Classical
The Heavenly Port,"[""Allison's Sacred Harp Singers""]",0.511,0.176,-9.891,0.0797,0.994,0.0,0.645,0.47,172.71200000000005,2004,"The Heavenly Port - [""Allison's Sacred Harp Singers""]",-0.1623323,0.11739695,7,Live Performances
Hypothermic Demise,['Psychomancer'],0.241,0.882,-9.761,0.0494,9.27e-06,0.92,0.0819,0.2319999999999999,93.574,2007,Hypothermic Demise - ['Psychomancer'],-0.02935387,-0.7558016,5,Dark Electronic Instrumental
Triumvirate of Evil,['Abhorrent Castigation'],0.503,0.992,-4.155,0.208,1.0800000000000003e-05,0.8809999999999999,0.0708,0.066,131.34,2014,Triumvirate of Evil - ['Abhorrent Castigation'],0.2927298,-0.6959785,5,Dark Electronic Instrumental
Just Dumb Enough to Try,['Father John Misty'],0.585,0.4589999999999999,-8.59,0.0276,0.29,0.000888,0.0646,0.43,116.985,2018,Just Dumb Enough to Try - ['Father John Misty'],0.33912176,0.22369495,2,Dance Pop
Adventure,"[""Snail's House""]",0.412,0.919,-5.252000000000002,0.0432,0.000691,0.36,0.1009999999999999,0.408,135.006,2017,"Adventure - [""Snail's House""]",0.60600615,-0.60867995,1,Energetic Electronic
Come as You Are,['MI.RAI'],0.7020000000000001,0.413,-10.121,0.0286,0.6509999999999999,0.0023899999999999,0.0952,0.488,107.957,2019,Come as You Are - ['MI.RAI'],0.07357396,0.629523,2,Dance Pop
My Only Wish,['Meghan Trainor'],0.5,0.534,-6.3329999999999975,0.177,0.136,0.0,0.0827,0.643,146.371,2020,My Only Wish - ['Meghan Trainor'],0.59946823,0.0023885593,1,Energetic Electronic
Wingspan - Kaya Project Remix,"['Birds of Paradise', 'Kaya Project']",0.573,0.884,-5.6339999999999995,0.0408,0.223,0.865,0.584,0.48,180.033,2015,"Wingspan - Kaya Project Remix - ['Birds of Paradise', 'Kaya Project']",0.37186167,-0.49640715,7,Live Performances
Purple Mountain,['Thirteen Arrows'],0.442,0.94,-5.104,0.0997,0.0022199999999999,0.0171,0.25,0.557,144.894,2008,Purple Mountain - ['Thirteen Arrows'],0.835716,-0.3524434,1,Energetic Electronic
Mr. DJ,['Sharon Cuneta'],0.3829999999999999,0.365,-8.96,0.0271,0.657,0.0,0.0774,0.1689999999999999,132.328,2008,Mr. DJ - ['Sharon Cuneta'],-0.3828717,-0.13050513,0,Calm Acoustic
Requiem: Lux aeterna,"['John Rutter', 'Elin Manahan Thomas', 'Choir of Clare College, Cambridge', 'City of London Sinfonia', 'Timothy Brown']",0.17,0.0482,-29.289,0.044,0.947,0.885,0.098,0.0353,127.424,2003,"Requiem: Lux aeterna - ['John Rutter', 'Elin Manahan Thomas', 'Choir of Clare College, Cambridge', 'City of London Sinfonia', 'Timothy Brown']",-0.96808195,-0.25037342,6,Ambient / Classical
The Girls Say,['Groove Armada'],0.765,0.895,-2.928,0.0541,0.0149,5.570000000000001e-05,0.7909999999999999,0.645,113.009,2007,The Girls Say - ['Groove Armada'],0.6144938,0.0044759233,7,Live Performances
Way That I'm Livin',['Andy Timmons'],0.521,0.7609999999999999,-10.192,0.0569,0.0245,0.00564,0.429,0.624,120.405,1998,Way That I'm Livin' - ['Andy Timmons'],0.6373027,-0.0362641,7,Live Performances
Quiet Show / First Snow / Hotel Business Center,['Ben Seretan'],0.103,0.0758,-22.658,0.0435,0.982,0.848,0.0898,0.024,67.192,2019,Quiet Show / First Snow / Hotel Business Center - ['Ben Seretan'],-0.9232198,-0.24397157,6,Ambient / Classical
"Organ Sonata No. 18 in A Major, Op. 188: I. Phantasie","['Josef Rheinberger', 'Wolfgang Rübsam']",0.0671,0.0608,-24.218000000000004,0.0421,0.619,0.882,0.11,0.0363,75.872,2008,"Organ Sonata No. 18 in A Major, Op. 188: I. Phantasie - ['Josef Rheinberger', 'Wolfgang Rübsam']",-0.906761,-0.34291655,6,Ambient / Classical
Glam Racket - Permanent Single Cdsperms,['The Fall'],0.513,0.851,-8.593,0.0668,4.91e-05,0.638,0.6970000000000001,0.638,133.77700000000002,1993,Glam Racket - Permanent Single Cdsperms - ['The Fall'],0.37724003,-0.31221938,7,Live Performances
"Violin Concerto in D Major, Op. 61: II. Larghetto","['Ludwig van Beethoven', 'Elmar Oliveira', 'Asturias Symphony Orchestra', 'Maximiano Valdes']",0.19,0.0474,-26.781,0.0467,0.878,0.0424,0.187,0.0399,98.017,2007,"Violin Concerto in D Major, Op. 61: II. Larghetto - ['Ludwig van Beethoven', 'Elmar Oliveira', 'Asturias Symphony Orchestra', 'Maximiano Valdes']",-0.90273714,-0.037253436,0,Calm Acoustic
Ramblin' Heart,['Paul Reisler and Trapezoid'],0.255,0.143,-14.425,0.0409999999999999,0.872,3.53e-06,0.125,0.249,76.074,1994,Ramblin' Heart - ['Paul Reisler and Trapezoid'],-0.7467978,0.1917789,0,Calm Acoustic
Upwards,['Billa Joints'],0.626,0.485,-11.717,0.0446,0.034,0.91,0.195,0.0812,119.97,2018,Upwards - ['Billa Joints'],-0.09271407,-0.5479049,5,Dark Electronic Instrumental
Love You Right,['Yung Crucial'],0.4679999999999999,0.506,-10.186,0.421,0.0275,0.0,0.11,0.276,159.797,2020,Love You Right - ['Yung Crucial'],0.24869023,-0.24616745,1,Energetic Electronic
Postludium No. 2,"['Anne Mette Iversen', 'Silke Eberhard', 'Geoffroy de Masure', 'Roland Schneider']",0.379,0.0886,-19.734,0.0338,0.963,0.782,0.27,0.243,84.76700000000002,2017,"Postludium No. 2 - ['Anne Mette Iversen', 'Silke Eberhard', 'Geoffroy de Masure', 'Roland Schneider']",-0.9204885,-0.043312013,6,Ambient / Classical
Hip-Hop To The Core,['Detect [Battletown]'],0.7020000000000001,0.564,-9.117,0.335,0.278,0.0,0.0469,0.779,172.041,2000,Hip-Hop To The Core - ['Detect [Battletown]'],0.4510123,0.28584713,4,Acoustic Pop
Electronic Herd,['Rachel Nelson'],0.746,0.173,-11.246,0.0969,0.958,1.44e-06,0.134,0.488,99.434,2003,Electronic Herd - ['Rachel Nelson'],-0.31408563,0.85760456,4,Acoustic Pop
Refugee,['Delta Moon'],0.525,0.602,-9.245,0.032,0.047,0.284,0.584,0.53,157.851,2017,Refugee - ['Delta Moon'],0.433898,-0.345397,7,Live Performances
Three Little Frogs,['John Feierabend'],0.622,0.204,-21.321,0.939,0.3879999999999999,0.0,0.317,0.541,70.46,2000,Three Little Frogs - ['John Feierabend'],-0.071185015,0.18800625,7,Live Performances
Late Night Creepin',"['Chilee Powdah', 'C-Note']",0.735,0.7559999999999999,-4.6930000000000005,0.0566,0.0173,0.000235,0.0436,0.961,81.14,2005,"Late Night Creepin' - ['Chilee Powdah', 'C-Note']",0.6590213,0.4675008,2,Dance Pop
Retirada,['José Alfredo Jimenez'],0.313,0.26,-9.295,0.0338,0.919,0.0,0.289,0.477,79.357,2002,Retirada - ['José Alfredo Jimenez'],-0.5003853,0.30951017,0,Calm Acoustic
Come Te,['Gronge X'],0.26,0.821,-9.908,0.114,0.123,0.0,0.892,0.114,129.816,2015,Come Te - ['Gronge X'],0.15840699,-0.5298731,7,Live Performances
Usa,['Eddie Florano'],0.499,0.899,-8.478,0.2769999999999999,2.13e-05,2.85e-05,0.0992,0.319,120.028,2006,Usa - ['Eddie Florano'],0.5546649,-0.26228842,1,Energetic Electronic
Walker of Dissonant Worlds,['Xasthur'],0.0877,0.382,-9.102,0.0445,0.296,0.953,0.131,0.252,76.108,2005,Walker of Dissonant Worlds - ['Xasthur'],-0.49066383,-0.56896824,5,Dark Electronic Instrumental
"Moods, Op. 73: III. A Ride at Night","['Edvard Grieg', 'Håkon Austbø']",0.4629999999999999,0.0283,-22.796999999999997,0.0689,0.991,0.889,0.0832,0.0458,114.992,2013,"Moods, Op. 73: III. A Ride at Night - ['Edvard Grieg', 'Håkon Austbø']",-0.9495536,-0.07677521,6,Ambient / Classical
Spinning Wheel,"[""Todor 'Toscho' Todorovic""]",0.23,0.7709999999999999,-6.447,0.0566,0.135,1.27e-06,0.29,0.745,177.845,2009,"Spinning Wheel - [""Todor 'Toscho' Todorovic""]",0.49591765,-0.347628,1,Energetic Electronic
"Tina-Lina (from ""The Toast of New Orleans"")","['Nikolaus Brodszky', 'Mario Lanza', 'Ray Sinatra']",0.396,0.562,-11.063,0.0679,0.926,0.000833,0.508,0.522,120.064,1992,"Tina-Lina (from ""The Toast of New Orleans"") - ['Nikolaus Brodszky', 'Mario Lanza', 'Ray Sinatra']",-0.15370898,0.16345103,7,Live Performances
Felicidad,['Vicentico'],0.737,0.775,-4.8919999999999995,0.034,0.482,1.27e-05,0.0598,0.8059999999999999,91.049,2006,Felicidad - ['Vicentico'],0.55876374,0.59142894,2,Dance Pop
"Oh, That",['Dj Iceman'],0.638,0.504,-5.234,0.054,0.06,0.664,0.309,0.923,189.949,2020,"Oh, That - ['Dj Iceman']",0.47929147,-0.100638896,3,Instrumental Energy
"Our Club, Our Home, Our Kelly",['Bullets To Broadway'],0.478,0.932,-6.081,0.0839,0.11,0.0,0.228,0.601,106.559,2005,"Our Club, Our Home, Our Kelly - ['Bullets To Broadway']",0.8071043,-0.09226731,2,Dance Pop
Another Day (In the Life),['Fox Amoore'],0.3279999999999999,0.144,-21.186,0.0388,0.986,0.879,0.29,0.0359,109.197,2017,Another Day (In the Life) - ['Fox Amoore'],-0.9300161,-0.28394902,6,Ambient / Classical
Control,['Dälek'],0.446,0.765,-7.894,0.151,0.4320000000000001,0.157,0.0994,0.135,88.99,2016,Control - ['Dälek'],0.08231889,-0.3310669,5,Dark Electronic Instrumental
After You,['Chastity Brown'],0.617,0.8109999999999999,-9.26,0.0354,0.141,0.0458,0.111,0.38,110.021,2012,After You - ['Chastity Brown'],0.6645135,-0.037749656,2,Dance Pop
"Harpsichord Sonata in B-Flat Major, Op. 3, No. 8: I. Adagio","['Benedetto Marcello', 'Roberto Loreggian']",0.291,0.207,-20.49,0.0339,0.884,0.335,0.126,0.474,88.986,2001,"Harpsichord Sonata in B-Flat Major, Op. 3, No. 8: I. Adagio - ['Benedetto Marcello', 'Roberto Loreggian']",-0.8897947,0.23442765,6,Ambient / Classical
Fuckin' Right,['Jarekus Singleton'],0.67,0.7190000000000001,-10.928,0.0622,0.00426,0.0039299999999999,0.109,0.698,123.999,2018,Fuckin' Right - ['Jarekus Singleton'],0.74849474,0.22025564,2,Dance Pop
Der blaue Engel: Ich bin von Kopf bis Fuss (Falling in Love Again),['Theo Bleckmann'],0.389,0.0534,-19.874,0.043,0.979,1.57e-05,0.298,0.129,84.406,2017,Der blaue Engel: Ich bin von Kopf bis Fuss (Falling in Love Again) - ['Theo Bleckmann'],-0.801844,0.16506371,0,Calm Acoustic
Banji,['Ronnie Nyogetsu Seldin'],0.187,0.0279999999999999,-23.64,0.046,0.992,0.114,0.0817,0.0851,65.888,1997,Banji - ['Ronnie Nyogetsu Seldin'],-0.9064497,0.095246345,0,Calm Acoustic
A Farewell Kiss,['Imago Mortis'],0.5429999999999999,0.8690000000000001,-5.268,0.0358,0.000433,0.00822,0.11,0.235,100.096,2018,A Farewell Kiss - ['Imago Mortis'],0.56678694,-0.30007315,1,Energetic Electronic
Be What You Want,"['Majid', 'Mr. Cheeks', 'Craig G', 'Squala Orphan']",0.635,0.611,-7.338999999999999,0.0549,0.0707,0.0,0.1369999999999999,0.315,106.07,2018,"Be What You Want - ['Majid', 'Mr. Cheeks', 'Craig G', 'Squala Orphan']",0.55504704,-0.024797846,2,Dance Pop
Greatest Love of All,['Whitney Houston'],0.5429999999999999,0.402,-10.182,0.0322,0.705,0.0,0.198,0.322,130.418,2017,Greatest Love of All - ['Whitney Houston'],-0.14941303,0.21048231,0,Calm Acoustic
"Cello Concerto No. 1 in A Minor, Op. 33: III. Molto allegro","['Camille Saint-Saëns', 'Antonio Meneses', 'Claudio Cruz', 'Royal Northern Sinfonia']",0.205,0.0826,-20.082,0.0428,0.925,0.9,0.0875,0.142,83.37299999999998,2017,"Cello Concerto No. 1 in A Minor, Op. 33: III. Molto allegro - ['Camille Saint-Saëns', 'Antonio Meneses', 'Claudio Cruz', 'Royal Northern Sinfonia']",-0.93563443,-0.21858856,6,Ambient / Classical
Lovers Never Die,['Céline Dion'],0.6409999999999999,0.5529999999999999,-7.187,0.0542,0.0694,0.0,0.166,0.5,135.936,2019,Lovers Never Die - ['Céline Dion'],0.7042612,0.04905635,2,Dance Pop
Cut You Loose,"['Buddy Guy', 'Junior Wells']",0.752,0.0871,-17.778,0.0597,0.76,0.00337,0.325,0.499,76.846,1991,"Cut You Loose - ['Buddy Guy', 'Junior Wells']",-0.39237034,0.7225597,4,Acoustic Pop
Goodbye,['Future Sunsets'],0.721,0.472,-7.48,0.0302,0.0172,0.000226,0.166,0.485,120.02,2015,Goodbye - ['Future Sunsets'],0.62386894,0.23798572,2,Dance Pop
"Symphony No. 1 in D Minor, Op. 13: IV. Allegro con fuoco (Live)","['Sergei Rachmaninoff', 'Philharmonia Orchestra', 'Vladimir Ashkenazy']",0.1969999999999999,0.171,-20.046,0.0462,0.8640000000000001,0.8390000000000001,0.0913,0.0655,75.38,2017,"Symphony No. 1 in D Minor, Op. 13: IV. Allegro con fuoco (Live) - ['Sergei Rachmaninoff', 'Philharmonia Orchestra', 'Vladimir Ashkenazy']",-0.90912634,-0.27194136,6,Ambient / Classical
Stormy Weather (Live),['Karl Jones'],0.514,0.283,-14.387,0.0431,0.429,0.00228,0.2769999999999999,0.7859999999999999,91.498,2015,Stormy Weather (Live) - ['Karl Jones'],-0.009896599,0.593519,4,Acoustic Pop
Can't Reach,['Shake Stew'],0.371,0.0293,-17.492,0.0422,0.955,0.413,0.13,0.0858,128.863,2017,Can't Reach - ['Shake Stew'],-0.90091515,-0.089932725,6,Ambient / Classical
Flipside,['Josh Blackburn'],0.575,0.866,-6.888999999999999,0.0389,0.2269999999999999,0.000907,0.077,0.857,113.005,2010,Flipside - ['Josh Blackburn'],0.74476564,0.29516482,2,Dance Pop
The Future Is Not What It Used To Be,['Ronnie Milsap'],0.413,0.212,-13.817,0.036,0.593,0.0,0.713,0.187,146.567,2002,The Future Is Not What It Used To Be - ['Ronnie Milsap'],-0.26298857,-0.15887828,7,Live Performances
Everything You Do,['M.I.C.'],0.325,0.773,-7.637,0.0335,0.00854,0.0235,0.102,0.4679999999999999,180.158,2009,Everything You Do - ['M.I.C.'],0.47727302,-0.45773464,1,Energetic Electronic
Let You Love Me,['Rita Ora'],0.475,0.846,-3.344,0.283,0.275,0.0,0.0824,0.451,96.036,2018,Let You Love Me - ['Rita Ora'],0.5039558,-0.08484438,2,Dance Pop
Nightwings,"['Claus Ogerman', 'Michael Brecker']",0.239,0.2339999999999999,-17.549,0.0361,0.787,0.875,0.0969999999999999,0.0994,78.684,2019,"Nightwings - ['Claus Ogerman', 'Michael Brecker']",-0.8491124,-0.32000548,6,Ambient / Classical
Battle of the Bones,['Flatfoot 56'],0.286,0.972,-3.778,0.0675,0.000651,0.0,0.237,0.591,153.489,2006,Battle of the Bones - ['Flatfoot 56'],0.6772693,-0.44834805,1,Energetic Electronic
"All of You - Recorded Live in Concert, 2006",['John Hicks'],0.369,0.143,-24.142,0.0516,0.982,0.888,0.498,0.181,71.843,2009,"All of You - Recorded Live in Concert, 2006 - ['John Hicks']",-0.8446523,-0.09387445,6,Ambient / Classical
The Grind,['Salim'],0.6970000000000001,0.625,-10.632,0.371,0.0236,3.14e-06,0.0759,0.77,89.85600000000002,2007,The Grind - ['Salim'],0.45484042,0.35269564,2,Dance Pop
Little Engine,"['Michael Johns', 'Brooke White']",0.484,0.23,-9.62,0.0279,0.7879999999999999,0.0,0.0722,0.283,76.291,2015,"Little Engine - ['Michael Johns', 'Brooke White']",-0.47360417,0.360191,0,Calm Acoustic
You Pretend to Be the Moon,['Future Bible Heroes'],0.5329999999999999,0.396,-10.503,0.0286,0.7509999999999999,0.807,0.0857,0.386,111.967,2013,You Pretend to Be the Moon - ['Future Bible Heroes'],-0.5296006,-0.045604926,6,Ambient / Classical
Heavy Like the World,['Guided By Voices'],0.456,0.865,-5.256,0.0355,0.000434,0.00144,0.308,0.252,127.076,2019,Heavy Like the World - ['Guided By Voices'],0.615984,-0.5350181,1,Energetic Electronic
If You Love Me,['Air Supply'],0.614,0.5329999999999999,-8.08,0.0261,0.735,0.000463,0.146,0.379,85.932,2001,If You Love Me - ['Air Supply'],-0.06199555,0.5636674,4,Acoustic Pop
Remember the Laughter,['Ray Toro'],0.2319999999999999,0.7879999999999999,-4.997,0.0345,0.0643,1.21e-06,0.044,0.2189999999999999,150.039,2016,Remember the Laughter - ['Ray Toro'],0.32078344,-0.6272373,1,Energetic Electronic
Drink Donna,['The Cocktail Preachers'],0.382,0.617,-8.966000000000003,0.0426,0.00262,0.856,0.0782,0.546,143.49200000000005,2008,Drink Donna - ['The Cocktail Preachers'],0.18644086,-0.5786572,5,Dark Electronic Instrumental
Flowers,['João Balouta'],0.255,0.273,-17.807000000000006,0.0405,0.941,0.922,0.128,0.0738,146.667,2017,Flowers - ['João Balouta'],-0.801543,-0.45775437,6,Ambient / Classical
I'm Gonna Write A Song,['Andy Griffith'],0.628,0.653,-10.774,0.0383,0.556,0.0,0.395,0.937,114.052,1972,I'm Gonna Write A Song - ['Andy Griffith'],0.21381088,0.4570433,4,Acoustic Pop
